country_code,survey_year,country_name,region_code,region_name,welfare_type,survey_acronym,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,gini,reporting_pop,reporting_pce,distribution_type,spl,survey_coverage,reporting_level,decile1,decile10,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9
AGO,2000,Angola,SSA,Sub-Saharan Africa,consumption,HBS,0,2000,2.15,0.213605659674,0.090902769337,0.052686230261,0.519447177794,16509042,,micro,3.486659087938,national,national,0.009912799103,0.401680816274,0.021986918901,0.03341610857,0.045094763699,0.056465896952,0.070481835704,0.088172284759,0.113397363605,0.159391212433
AGO,2008,Angola,SSA,Sub-Saharan Africa,consumption,IBEP-MICS,1,2008,2.15,0.145896882676,0.040396380985,0.016466020402,0.427155149878,22099598,1201.3110922354,micro,3.501549905486,national,national,0.020722704667,0.323016498362,0.033564171517,0.043176167923,0.053027305776,0.065425990436,0.07923758155,0.096511887757,0.122976103307,0.162341588705
AGO,2018,Angola,SSA,Sub-Saharan Africa,consumption,IDREA,2,2018,2.15,0.311220062314,0.11919143728,0.062310130094,0.512639915479,31457142,1495.34059467995,micro,2.860251118865,national,national,0.013348494052,0.396216587278,0.02428155828,0.033329454749,0.04343712694,0.055829007432,0.069808939273,0.088692860198,0.11567589176,0.159380080037
ALB,1996,Albania,ECA,Europe & Central Asia,consumption,EWS,0,1996,2.15,0.005348460357,0.000982145368,0.000304759078,0.270103419751,3168033,1716.33680111076,micro,4.636051314566,national,national,0.038817883466,0.207109956691,0.052792297005,0.063706566514,0.075240257439,0.083462238153,0.092457305123,0.107789612861,0.126116176356,0.152507706392
ALB,2002,Albania,ECA,Europe & Central Asia,consumption,LSMS,1,2002 - 2012,2.15,0.010926473904,0.001894348649,0.000594229855,0.317389798335,3051010,1685.20307823169,micro,4.494070705356,national,national,0.03523453383,0.253398838931,0.048484450621,0.058520715358,0.067376298306,0.076407873319,0.088384438922,0.102324653414,0.119868981708,0.149999215591
ALB,2005,Albania,ECA,Europe & Central Asia,consumption,LSMS,1,2002 - 2012,2.15,0.005910856841,0.000897233491,0.000228511914,0.305956557281,3011487,2079.20347462531,micro,5.049895586074,national,national,0.034870461608,0.243316265798,0.049362953423,0.059658204008,0.06935465629,0.079654226763,0.090390907976,0.104065136108,0.121028738588,0.148298449437
ALB,2008,Albania,ECA,Europe & Central Asia,consumption,LSMS,1,2002 - 2012,2.15,0.001999251462,0.000396410989,8.6903135e-05,0.299846704223,2947314,2820.27951343061,micro,5.350099836795,national,national,0.037382980864,0.244404306315,0.051433949416,0.06098501954,0.069847255057,0.079011325561,0.089379472656,0.102883019772,0.119204651405,0.145468019414
ALB,2012,Albania,ECA,Europe & Central Asia,consumption,LSMS,1,2002 - 2012,2.15,0.006206908872,0.001308925386,0.00045241814,0.289604845586,2900401,2990.3965980158,micro,5.270192482445,national,national,0.036604352903,0.229296543231,0.05192535994,0.06146082609,0.070334993378,0.080799744944,0.092617752259,0.105133410116,0.122924903997,0.148902113141
ALB,2014,Albania,ECA,Europe & Central Asia,consumption,HBS,2,2014 - 2017,2.15,0.01023100774,0.001387079266,0.000267282302,0.345988964668,2889104,3143.25412532029,micro,5.297687747964,national,national,0.028540807069,0.255441687113,0.041743442246,0.052298414672,0.063048669594,0.075132675589,0.089338199414,0.105912036203,0.127275531103,0.161268536997
ALB,2015,Albania,ECA,Europe & Central Asia,consumption,HBS,2,2014 - 2017,2.15,0.000960674939,4.0287015e-05,2.737962e-06,0.327537317764,2880703,3189.70532584876,micro,6.17156287524,national,national,0.031547363603,0.247738603351,0.045467807624,0.055666923442,0.065791515741,0.076198266328,0.088866304853,0.104759011687,0.125259420386,0.158704782985
ALB,2016,Albania,ECA,Europe & Central Asia,consumption,HBS,2,2014 - 2017,2.15,0.001393031662,0.000106380995,1.3764967e-05,0.337362987161,2876101,3262.75695885257,micro,6.287461301936,national,national,0.029695862687,0.250460311474,0.043512687517,0.054228763657,0.064288082889,0.075197730428,0.0889670339,0.105207039694,0.127040351202,0.161402136552
ALB,2016,Albania,ECA,Europe & Central Asia,income,SILC-C,4,2016 - 2018,2.15,0.057951017798,0.022142577509,0.011332282899,0.385655960951,2876101,3262.75695885257,micro,5.217161542095,national,national,0.018382586195,0.274574774319,0.034852513987,0.047918276773,0.060813789241,0.073589778764,0.088671519795,0.105685451606,0.129208158919,0.166303150401
ALB,2017,Albania,ECA,Europe & Central Asia,consumption,HBS,2,2014 - 2017,2.15,0.003925699344,0.000388034422,5.4874231e-05,0.330556627407,2873457,3345.55624537542,micro,6.243834389922,national,national,0.030917738243,0.246055907316,0.044587989906,0.05479103517,0.065082411437,0.076048935567,0.089085788241,0.10544002958,0.127174153392,0.160816011147
ALB,2017,Albania,ECA,Europe & Central Asia,income,SILC-C,4,2016 - 2018,2.15,0.052648060214,0.017958083235,0.00875427758,0.370951266866,2873457,3345.55624537542,micro,5.502452724418,national,national,0.018980408536,0.264477821621,0.036448518775,0.05009209566,0.063295776352,0.076485841442,0.090747059562,0.106507626353,0.129066837452,0.163898014246
ALB,2018,Albania,ECA,Europe & Central Asia,consumption,HBS,3,2018 - 2020,2.15,0.000481070476,5.6359287e-05,6.735117e-06,0.301482817366,2866376,3461.66437422341,micro,6.969988077306,national,national,0.03170735814,0.227345814547,0.04767776553,0.059737454217,0.070730734084,0.081340950257,0.093449785837,0.107498982472,0.12595946171,0.154551693206
ALB,2018,Albania,ECA,Europe & Central Asia,income,SILC-C,4,2016 - 2018,2.15,0.038929823491,0.011322119772,0.005091755975,0.359887519014,2866376,3461.66437422341,micro,5.749814235013,national,national,0.021491020968,0.259762096249,0.038550208415,0.051452788906,0.063934622067,0.077324684924,0.091300762542,0.10673536695,0.126765476848,0.162682972132
ALB,2019,Albania,ECA,Europe & Central Asia,consumption,HBS,3,2018 - 2020,2.15,0.0,0.0,0.0,0.301157683046,2854191,3591.29257724492,micro,6.955761981729,national,national,0.035359825851,0.236139533262,0.049783410355,0.0602168921,0.069455849736,0.079254147027,0.090381969098,0.103833307577,0.123283361139,0.152291703854
ALB,2020,Albania,ECA,Europe & Central Asia,consumption,HBS,3,2018 - 2020,2.15,0.000212773636,1.1518103e-05,6.23511e-07,0.294196298171,2837849,3489.23343398783,micro,7.182353303681,national,national,0.034180198398,0.227556139673,0.050261743249,0.060896200226,0.071092496205,0.08109745104,0.092200084527,0.105630868773,0.124418394428,0.152666423481
ARE,2013,United Arab Emirates,OHI,Other High Income Countries,income,HIES,0,2013 - 2018,2.15,0.0,0.0,0.0,0.325104208858,8787170,15943.3343606467,group,33.721719730956,national,national,0.023497326715,0.214353154593,0.038642840655,0.053066228261,0.06738315328,0.082186395891,0.098176619988,0.11635509094,0.138427579795,0.167911609882
ARE,2018,United Arab Emirates,OHI,Other High Income Countries,income,HIES,0,2013 - 2018,2.15,0.0,0.0,0.0,0.263990043944,9140169,16365.3201710549,group,38.275918606808,national,national,0.028349685726,0.204805440877,0.053640054156,0.068373005876,0.079582257661,0.089456065811,0.099174768633,0.109823265722,0.123123811597,0.143671643942
ARG,1980,Argentina,LAC,Latin America & Caribbean,income,EPH,0,1980 - 1991,2.15,0.0,0.0,0.0,0.408308603303,23228918,,group,13.565243675087,urban,urban,0.020098563654,0.301753705842,0.032864354828,0.044929877051,0.056978585226,0.069689033571,0.083945640613,0.10122462704,0.124679981781,0.163835630394
ARG,1986,Argentina,LAC,Latin America & Caribbean,income,EPH,0,1980 - 1991,2.15,0.011191321131,0.009824744059,0.008649883558,0.427977841774,26272907,,micro,13.833658582382,urban,urban,0.017773314403,0.321908707851,0.033569403307,0.043552599539,0.055175873855,0.066639947966,0.079847986557,0.097334625252,0.120927170481,0.163270370789
ARG,1987,Argentina,LAC,Latin America & Caribbean,income,EPH,0,1980 - 1991,2.15,0.011860859178,0.007984910277,0.00646296696,0.452675117034,26797140,,micro,12.329807186163,urban,urban,0.015682231592,0.342419368133,0.030154731336,0.041190970776,0.051914435917,0.063450487171,0.077233106241,0.095154799969,0.11949634235,0.163303526515
ARG,1991,Argentina,LAC,Latin America & Caribbean,income,EPH,0,1980 - 1991,2.15,0.009720286287,0.005882949151,0.004328441809,0.467544557541,28910601,,micro,8.707314140122,urban,urban,0.017506222393,0.366064140909,0.030553054099,0.040586304216,0.049992531891,0.060608772011,0.072389037449,0.088960293187,0.114115000688,0.159224643158
